Entity,Code,Year,LGBT+ employment discrimination (historical)
Bolivia,BOL,2014,Sexual orientation and gender identity
Bolivia,BOL,2015,Sexual orientation and gender identity
Bolivia,BOL,2016,Sexual orientation and gender identity
Bolivia,BOL,2017,Sexual orientation and gender identity
Bolivia,BOL,2018,Sexual orientation and gender identity
Bolivia,BOL,2019,Sexual orientation and gender identity
Bolivia,BOL,2020,Sexual orientation and gender identity
Bolivia,BOL,2021,Sexual orientation and gender identity
Bolivia,BOL,2022,Sexual orientation and gender identity
Bolivia,BOL,2023,Sexual orientation and gender identity
Bolivia,BOL,2024,Sexual orientation and gender identity
Bosnia and Herzegovina,BIH,2016,Sexual orientation and gender identity
Bosnia and Herzegovina,BIH,2017,Sexual orientation and gender identity
Bosnia and Herzegovina,BIH,2018,Sexual orientation and gender identity
Bosnia and Herzegovina,BIH,2019,Sexual orientation and gender identity
Bosnia and Herzegovina,BIH,2020,Sexual orientation and gender identity
Bosnia and Herzegovina,BIH,2021,Sexual orientation and gender identity
Bosnia and Herzegovina,BIH,2022,Sexual orientation and gender identity
Bosnia and Herzegovina,BIH,2023,Sexual orientation and gender identity
Bosnia and Herzegovina,BIH,2024,Sexual orientation and gender identity
Botswana,BWA,2010,Sexual orientation only
Botswana,BWA,2011,Sexual orientation only
Botswana,BWA,2012,Sexual orientation only
Botswana,BWA,2013,Sexual orientation only
Botswana,BWA,2014,Sexual orientation only
Botswana,BWA,2015,Sexual orientation only
Botswana,BWA,2016,Sexual orientation only
Botswana,BWA,2017,Sexual orientation only
Botswana,BWA,2018,Sexual orientation only
Botswana,BWA,2019,Sexual orientation only
Botswana,BWA,2020,Sexual orientation only
Botswana,BWA,2021,Sexual orientation only
Botswana,BWA,2022,Sexual orientation only
Botswana,BWA,2023,Sexual orientation only
Botswana,BWA,2024,Sexual orientation only
Brazil,BRA,2019,Sexual orientation and gender identity
Brazil,BRA,2020,Sexual orientation and gender identity
Brazil,BRA,2021,Sexual orientation and gender identity
Brazil,BRA,2022,Sexual orientation and gender identity
Brazil,BRA,2023,Sexual orientation and gender identity
Brazil,BRA,2024,Sexual orientation and gender identity
Brunei,BRN,1951,No protections
Brunei,BRN,1952,No protections
Brunei,BRN,1953,No protections
Brunei,BRN,1954,No protections
Brunei,BRN,1955,No protections
Brunei,BRN,1956,No protections
Brunei,BRN,1957,No protections
Brunei,BRN,1958,No protections
Brunei,BRN,1959,No protections
Brunei,BRN,1960,No protections
Brunei,BRN,1961,No protections
Brunei,BRN,1962,No protections
Brunei,BRN,1963,No protections
Brunei,BRN,1964,No protections
Brunei,BRN,1965,No protections
Brunei,BRN,1966,No protections
Brunei,BRN,1967,No protections
Brunei,BRN,1968,No protections
Brunei,BRN,1969,No protections
Brunei,BRN,1970,No protections
Brunei,BRN,1971,No protections
Brunei,BRN,1972,No protections
Brunei,BRN,1973,No protections
Brunei,BRN,1974,No protections
Brunei,BRN,1975,No protections
Brunei,BRN,1976,No protections
Brunei,BRN,1977,No protections
Brunei,BRN,1978,No protections
Brunei,BRN,1979,No protections
Brunei,BRN,1980,No protections
Brunei,BRN,1981,No protections
Brunei,BRN,1982,No protections
Brunei,BRN,1983,No protections
Brunei,BRN,1984,No protections
Brunei,BRN,1985,No protections
Brunei,BRN,1986,No protections
Brunei,BRN,1987,No protections
Brunei,BRN,1988,No protections
Brunei,BRN,1989,No protections
Brunei,BRN,1990,No protections
Brunei,BRN,1991,No protections
Brunei,BRN,1992,No protections
Brunei,BRN,1993,No protections
Brunei,BRN,1994,No protections
Brunei,BRN,1995,No protections
Brunei,BRN,1996,No protections
Brunei,BRN,1997,No protections
Brunei,BRN,1998,No protections
Brunei,BRN,1999,No protections
Brunei,BRN,2000,No protections
Brunei,BRN,2001,No protections
Brunei,BRN,2002,No protections
Brunei,BRN,2003,No protections
Brunei,BRN,2004,No protections
Brunei,BRN,2005,No protections
Brunei,BRN,2006,No protections
Brunei,BRN,2007,No protections
Brunei,BRN,2008,No protections
Brunei,BRN,2009,No protections
Brunei,BRN,2010,No protections
Brunei,BRN,2011,No protections
Brunei,BRN,2012,No protections
Brunei,BRN,2013,No protections
Brunei,BRN,2014,No protections
Brunei,BRN,2015,No protections
Brunei,BRN,2016,No protections
Brunei,BRN,2017,No protections
Brunei,BRN,2018,No protections
Brunei,BRN,2019,No protections
Brunei,BRN,2020,No protections
Brunei,BRN,2021,No protections
Brunei,BRN,2022,No protections
Brunei,BRN,2023,No protections
Brunei,BRN,2024,No protections
Bulgaria,BGR,2003,Sexual orientation and gender identity
Bulgaria,BGR,2004,Sexual orientation and gender identity
Bulgaria,BGR,2005,Sexual orientation and gender identity
Bulgaria,BGR,2006,Sexual orientation and gender identity
Bulgaria,BGR,2007,Sexual orientation and gender identity
Bulgaria,BGR,2008,Sexual orientation and gender identity
Bulgaria,BGR,2009,Sexual orientation and gender identity
Bulgaria,BGR,2010,Sexual orientation and gender identity
Bulgaria,BGR,2011,Sexual orientation and gender identity
Bulgaria,BGR,2012,Sexual orientation and gender identity
Bulgaria,BGR,2013,Sexual orientation and gender identity
Bulgaria,BGR,2014,Sexual orientation and gender identity
Bulgaria,BGR,2015,Sexual orientation and gender identity
Bulgaria,BGR,2016,Sexual orientation and gender identity
Bulgaria,BGR,2017,Sexual orientation and gender identity
Bulgaria,BGR,2018,Sexual orientation and gender identity
Bulgaria,BGR,2019,Sexual orientation and gender identity
Bulgaria,BGR,2020,Sexual orientation and gender identity
Bulgaria,BGR,2021,Sexual orientation and gender identity
Bulgaria,BGR,2022,Sexual orientation and gender identity
Bulgaria,BGR,2023,Sexual orientation and gender identity
Bulgaria,BGR,2024,Sexual orientation and gender identity
Burundi,BDI,2024,No protections
Cambodia,KHM,2024,No protections
Cameroon,CMR,1972,No protections
Cameroon,CMR,1973,No protections
Cameroon,CMR,1974,No protections
Cameroon,CMR,1975,No protections
Cameroon,CMR,1976,No protections
Cameroon,CMR,1977,No protections
Cameroon,CMR,1978,No protections
Cameroon,CMR,1979,No protections
Cameroon,CMR,1980,No protections
Cameroon,CMR,1981,No protections
Cameroon,CMR,1982,No protections
Cameroon,CMR,1983,No protections
Cameroon,CMR,1984,No protections
Cameroon,CMR,1985,No protections
Cameroon,CMR,1986,No protections
Cameroon,CMR,1987,No protections
Cameroon,CMR,1988,No protections
Cameroon,CMR,1989,No protections
Cameroon,CMR,1990,No protections
Cameroon,CMR,1991,No protections
Cameroon,CMR,1992,No protections
Cameroon,CMR,1993,No protections
Cameroon,CMR,1994,No protections
Cameroon,CMR,1995,No protections
Cameroon,CMR,1996,No protections
Cameroon,CMR,1997,No protections
Cameroon,CMR,1998,No protections
Cameroon,CMR,1999,No protections
Cameroon,CMR,2000,No protections
Cameroon,CMR,2001,No protections
Cameroon,CMR,2002,No protections
Cameroon,CMR,2003,No protections
Cameroon,CMR,2004,No protections
Cameroon,CMR,2005,No protections
Cameroon,CMR,2006,No protections
Cameroon,CMR,2007,No protections
Cameroon,CMR,2008,No protections
Cameroon,CMR,2009,No protections
Cameroon,CMR,2010,No protections
Cameroon,CMR,2011,No protections
Cameroon,CMR,2012,No protections
Cameroon,CMR,2013,No protections
Cameroon,CMR,2014,No protections
Cameroon,CMR,2015,No protections
Cameroon,CMR,2016,No protections
Cameroon,CMR,2017,No protections
Cameroon,CMR,2018,No protections
Cameroon,CMR,2019,No protections
Cameroon,CMR,2020,No protections
Cameroon,CMR,2021,No protections
Cameroon,CMR,2022,No protections
Cameroon,CMR,2023,No protections
Cameroon,CMR,2024,No protections
Canada,CAN,1996,Sexual orientation only
Canada,CAN,1997,Sexual orientation only
Canada,CAN,1998,Sexual orientation only
Canada,CAN,1999,Sexual orientation only
Canada,CAN,2000,Sexual orientation only
Canada,CAN,2001,Sexual orientation only
Canada,CAN,2002,Sexual orientation only
Canada,CAN,2003,Sexual orientation only
Canada,CAN,2004,Sexual orientation only
Canada,CAN,2005,Sexual orientation only
Canada,CAN,2006,Sexual orientation only
Canada,CAN,2007,Sexual orientation only
Canada,CAN,2008,Sexual orientation only
Canada,CAN,2009,Sexual orientation only
Canada,CAN,2010,Sexual orientation only
Canada,CAN,2011,Sexual orientation only
Canada,CAN,2012,Sexual orientation only
Canada,CAN,2013,Sexual orientation only
Canada,CAN,2014,Sexual orientation only
Canada,CAN,2015,Sexual orientation only
Canada,CAN,2016,Sexual orientation only
Canada,CAN,2017,Sexual orientation and gender identity
Canada,CAN,2018,Sexual orientation and gender identity
Canada,CAN,2019,Sexual orientation and gender identity
Canada,CAN,2020,Sexual orientation and gender identity
Canada,CAN,2021,Sexual orientation and gender identity
Canada,CAN,2022,Sexual orientation and gender identity
Canada,CAN,2023,Sexual orientation and gender identity
Canada,CAN,2024,Sexual orientation and gender identity
Cape Verde,CPV,2008,Sexual orientation only
Cape Verde,CPV,2009,Sexual orientation only
Cape Verde,CPV,2010,Sexual orientation only
Cape Verde,CPV,2011,Sexual orientation only
Cape Verde,CPV,2012,Sexual orientation only
Cape Verde,CPV,2013,Sexual orientation only
Cape Verde,CPV,2014,Sexual orientation only
Cape Verde,CPV,2015,Sexual orientation only
Cape Verde,CPV,2016,Sexual orientation only
Cape Verde,CPV,2017,Sexual orientation only
Cape Verde,CPV,2018,Sexual orientation only
Cape Verde,CPV,2019,Sexual orientation only
Cape Verde,CPV,2020,Sexual orientation only
Cape Verde,CPV,2021,Sexual orientation only
Cape Verde,CPV,2022,Sexual orientation only
Cape Verde,CPV,2023,Sexual orientation only
Cape Verde,CPV,2024,Sexual orientation only
Central African Republic,CAF,2003,No protections
Central African Republic,CAF,2004,No protections
Central African Republic,CAF,2005,No protections
Central African Republic,CAF,2006,No protections
Central African Republic,CAF,2007,No protections
Central African Republic,CAF,2008,No protections
Central African Republic,CAF,2009,No protections
Central African Republic,CAF,2010,No protections
Central African Republic,CAF,2011,No protections
Central African Republic,CAF,2012,No protections
Central African Republic,CAF,2013,No protections
Central African Republic,CAF,2014,No protections
Central African Republic,CAF,2015,No protections
Central African Republic,CAF,2016,No protections
Central African Republic,CAF,2017,No protections
Central African Republic,CAF,2018,No protections
Central African Republic,CAF,2019,No protections
Central African Republic,CAF,2020,No protections
Central African Republic,CAF,2021,No protections
Central African Republic,CAF,2022,No protections
Central African Republic,CAF,2023,No protections
Central African Republic,CAF,2024,No protections
Chad,TCD,2018,No protections
Chad,TCD,2019,No protections
Chad,TCD,2020,No protections
Chad,TCD,2021,No protections
Chad,TCD,2022,No protections
Chad,TCD,2023,No protections
Chad,TCD,2024,No protections
Chile,CHL,2012,Sexual orientation and gender identity
Chile,CHL,2013,Sexual orientation and gender identity
Chile,CHL,2014,Sexual orientation and gender identity
Chile,CHL,2015,Sexual orientation and gender identity
Chile,CHL,2016,Sexual orientation and gender identity
Chile,CHL,2017,Sexual orientation and gender identity
Chile,CHL,2018,Sexual orientation and gender identity
Chile,CHL,2019,Sexual orientation and gender identity
Chile,CHL,2020,Sexual orientation and gender identity
Chile,CHL,2021,Sexual orientation and gender identity
Chile,CHL,2022,Sexual orientation and gender identity
Chile,CHL,2023,Sexual orientation and gender identity
Chile,CHL,2024,Sexual orientation and gender identity
China,CHN,2024,No protections
Colombia,COL,2011,Sexual orientation only
Colombia,COL,2012,Sexual orientation only
Colombia,COL,2013,Sexual orientation only
Colombia,COL,2014,Sexual orientation only
Colombia,COL,2015,Sexual orientation only
Colombia,COL,2016,Sexual orientation only
Colombia,COL,2017,Sexual orientation only
Colombia,COL,2018,Sexual orientation and gender identity
Colombia,COL,2019,Sexual orientation and gender identity
Colombia,COL,2020,Sexual orientation and gender identity
Colombia,COL,2021,Sexual orientation and gender identity
Colombia,COL,2022,Sexual orientation and gender identity
Colombia,COL,2023,Sexual orientation and gender identity
Colombia,COL,2024,Sexual orientation and gender identity
Comoros,COM,2024,No protections
Congo,COG,2024,No protections
Costa Rica,CRI,2016,Sexual orientation only
Costa Rica,CRI,2017,Sexual orientation only
Costa Rica,CRI,2018,Sexual orientation only
Costa Rica,CRI,2019,Sexual orientation only
Costa Rica,CRI,2020,Sexual orientation only
Costa Rica,CRI,2021,Sexual orientation only
Costa Rica,CRI,2022,Sexual orientation only
Costa Rica,CRI,2023,Sexual orientation only
Costa Rica,CRI,2024,Sexual orientation only
Cote d'Ivoire,CIV,2024,No protections
Croatia,HRV,2003,Sexual orientation only
Croatia,HRV,2004,Sexual orientation only
Croatia,HRV,2005,Sexual orientation only
Croatia,HRV,2006,Sexual orientation only
Croatia,HRV,2007,Sexual orientation only
Croatia,HRV,2009,Sexual orientation and gender identity
Croatia,HRV,2010,Sexual orientation and gender identity
Croatia,HRV,2011,Sexual orientation and gender identity
Croatia,HRV,2012,Sexual orientation and gender identity
Croatia,HRV,2013,Sexual orientation and gender identity
Croatia,HRV,2014,Sexual orientation and gender identity
Croatia,HRV,2015,Sexual orientation and gender identity
Croatia,HRV,2016,Sexual orientation and gender identity
Croatia,HRV,2017,Sexual orientation and gender identity
Croatia,HRV,2018,Sexual orientation and gender identity
Croatia,HRV,2019,Sexual orientation and gender identity
Croatia,HRV,2020,Sexual orientation and gender identity
Croatia,HRV,2021,Sexual orientation and gender identity
Croatia,HRV,2022,Sexual orientation and gender identity
Croatia,HRV,2023,Sexual orientation and gender identity
Croatia,HRV,2024,Sexual orientation and gender identity
Cuba,CUB,2013,Sexual orientation and gender identity
Cuba,CUB,2014,Sexual orientation and gender identity
Cuba,CUB,2015,Sexual orientation and gender identity
Cuba,CUB,2016,Sexual orientation and gender identity
Cuba,CUB,2017,Sexual orientation and gender identity
Cuba,CUB,2018,Sexual orientation and gender identity
Cuba,CUB,2019,Sexual orientation and gender identity
Cuba,CUB,2020,Sexual orientation and gender identity
Cuba,CUB,2021,Sexual orientation and gender identity
Cuba,CUB,2022,Sexual orientation and gender identity
Cuba,CUB,2023,Sexual orientation and gender identity
Cuba,CUB,2024,Sexual orientation and gender identity
Cyprus,CYP,2014,Sexual orientation and gender identity
Cyprus,CYP,2015,Sexual orientation and gender identity
Cyprus,CYP,2016,Sexual orientation and gender identity
Cyprus,CYP,2017,Sexual orientation and gender identity
Cyprus,CYP,2018,Sexual orientation and gender identity
Cyprus,CYP,2019,Sexual orientation and gender identity
Cyprus,CYP,2020,Sexual orientation and gender identity
Cyprus,CYP,2021,Sexual orientation and gender identity
Cyprus,CYP,2022,Sexual orientation and gender identity
Cyprus,CYP,2023,Sexual orientation and gender identity
Cyprus,CYP,2024,Sexual orientation and gender identity
Czechia,CZE,2009,Sexual orientation and gender identity
Czechia,CZE,2010,Sexual orientation and gender identity
Czechia,CZE,2011,Sexual orientation and gender identity
Czechia,CZE,2012,Sexual orientation and gender identity
Czechia,CZE,2013,Sexual orientation and gender identity
Czechia,CZE,2014,Sexual orientation and gender identity
Czechia,CZE,2015,Sexual orientation and gender identity
Czechia,CZE,2016,Sexual orientation and gender identity
Czechia,CZE,2017,Sexual orientation and gender identity
Czechia,CZE,2018,Sexual orientation and gender identity
Czechia,CZE,2019,Sexual orientation and gender identity
Czechia,CZE,2020,Sexual orientation and gender identity
